icao_code,country_code,iata_code,lng,name,lat
KBML,US,BML,-71.18,Berlin Regional Airport,44.58
SLBJ,BO,BJO,-64.31,Bermejo Airport,-22.77
FKKO,CM,BTA,13.73,Bertoua Airport,4.55
NGBR,KI,BEZ,176.01,Beru Airport,-1.35
FMNQ,MG,BPY,44.48,Besalampy Airport,-16.74
WAWB,ID,BUW,122.57,Baubau Betoambari Airport,-5.49
FCOT,CG,BTB,18.5,Betou Airport,3.05
LBIA,BG,JAM,26.35,Bezmer Air Base,42.45
VNCG,NP,BDP,88.08,Bhadrapur Airport,26.56
VNBP,NP,BHR,84.43,Bharatpur Airport,27.68
VABV,IN,BHU,72.18,Bhavnagar Airport,21.75
VNBJ,NP,BHP,87.05,Bhojpur Airport,27.15
VABJ,IN,BHJ,69.67,Bhuj Airport,23.29
EPBP,PL,BXP,23.13,Biala Podlaska,52
EDMB,DE,,9.76,Biberach a.d. Riß Airfield,48.11
KBYS,US,BYS,-116.63,Bicycle Lake Army Airfield,35.28
EPKW,PL,QEO,19.02,Bielsko-Bialo Kaniow Airfield,49.94
ZUBJ,CN,BFJ,105.41,Bijie Airport,27.28
VEBS,IN,BBI,85.82,Biju Patnaik International Airport,20.25
VEBU,IN,PAB,82.11,Bilaspur Airport,21.99
WABV,ID,UGU,137.03,Zugapa Airport,-3.74
LTCU,TR,BGG,40.59,Bingoel Airport,38.86
WBGB,MY,BTU,113.02,Bintulu Airport,3.12
FEFI,CF,IRO,22.72,Birao,10.24
VNVT,NP,BIR,87.27,Biratnagar Airport,26.48
FSSB,SC,BDI,55.21,Bird Island Airport,-3.72
YBDV,AU,BVI,139.35,Birdsville Airport,-25.9
OIMB,IR,XBJ,59.26,Birjand Airport,32.9
VERC,IN,IXR,85.32,Birsa Munda Airport,23.32
,US,BSQ,-109.88,Bisbee Municipal Airport,31.36
KDUG,US,DUG,-109.6,Bisbee-Douglas International Airport,31.47
OEBH,SA,BHH,42.62,Bisha Airport,19.99
OINJ,IR,BSM,52.35,Bishe Kola Air Base,36.66
RPMF,PH,BPH,126.32,Bislig Airport,8.2
FOOB,GA,BMM,11.49,Bitam Airport,2.08
KSPF,US,SPF,-103.78,Black Hills Airport,44.48
YBCK,AU,BKQ,145.43,Blackall Airport,-24.43
YBTR,AU,BLT,148.81,Blackwater Airport,-23.6
KBKN,US,,-97.35,Blackwell-Tonkawa Municipal Airport,36.75
KBDG,US,BDG,-109.48,Blanding Municipal Airport,37.58
DAAB,DZ,QLD,2.81,Blida Airport,36.5
LFOQ,FR,XBQ,1.21,Blois-Le Breuil,47.68
KBLU,US,BLU,-120.71,Blue Canyon-Nyack Airport,39.28
MNBL,NI,BEF,-83.77,Bluefields Airport,11.99
KHKA,US,HKA,-89.83,Blytheville Municipal Airport,35.94
GFBO,SL,KBS,-11.76,Bo Airport,7.94
,CA,YBO,-130.25,Bob Quinn Lake Airport,56.97
UIKB,RU,ODO,114.24,Bodaybo Airport,57.87
LTBV,TR,BXN,27.67,Bodrum-Imsik Airport,37.14
FZGN,CD,BNB,20.87,Boende Airport,-0.26
DFEB,BF,XBG,-0.17,Bogande Airport,12.98
UHNB,RU,BQG,140.45,Bogorodskoye Airport,52.38
EDOE,DE,,12.36,Böhlen Airport,51.21
YBOI,AU,GIC,142.22,Boigu Airport,-9.23
OIMN,IR,BJB,57.31,Bojnord Airport,37.49
GUOK,GN,BKJ,-14.28,Boke,10.97
WAJB,ID,BUI,138.68,Bokondini Airport,-3.68
FTTK,TD,BKR,17.07,Bokoro Airport,12.38
LDSB,HR,BWK,16.68,Bol Airport,43.28
FTTL,TD,OTC,14.74,Bol Berim,13.44
ZWBL,CN,BPL,82.3,Bole Alashankou Airport,44.9
KBOF,US,BOF,-77.02,Joint Base Anacostia-Bolling Heliport,38.84
LIPB,IT,BZO,11.33,Bolzano Airport,46.46
SILC,BR,LVR,-55.95,Lucas do Rio Verde Airport,-13.04
SBLP,BR,LAZ,-43.41,Bom Jesus Da Lapa,-13.26
FZAJ,CD,BOA,13.06,Boma Airport,-5.86
AYBO,PG,BMH,144.64,Bomai,-6.37
CYVB,CA,YVB,-65.46,Bonaventure Airport,48.07
FTTB,TD,OGR,15.38,Bongor Airport,10.29
SBDB,BR,BYO,-56.45,Bonito Airport,-21.25
CYBF,CA,YBY,-110.75,Bonnyville Airport,54.3
KBNW,US,BNW,-93.85,Boone Municipal Airport,42.05
FOGB,GA,BGB,11.94,Booue Airport,-0.11
NTTB,PF,BOB,-151.75,Bora-Bora Airport,-16.44
EDWR,DE,BMK,6.71,Borkum,53.6
HCMF,SO,BSA,49.15,Bender Qassim International Airport,11.28
FEFS,CF,BSN,17.43,Bossangoa Airport,6.49
AYET,PG,BOT,141.11,Bosset Airport,-7.24
OABT,AF,BST,64.37,Bost Airport,31.56
SMBO,SR,BTO,-55.45,Botopasi Airport,4.22
SDBK,BR,QCJ,-48.47,Botucatu Airport,-22.94
FEFO,CF,BOP,15.64,Bouar Airport,5.96
FEGU,CF,BCF,18.27,Bouca Airport,6.52
DAAK,DZ,QFD,2.88,Boufarik Airport,36.55
YBOU,AU,BQL,139.9,Boulia Airport,-22.91
DFEA,BF,XBO,-0.57,Boulsa Airport,12.65
DIBN,CI,BQO,-3.03,Bouna Airport,9.28
CZBB,CA,YDT,-123.01,Boundary Bay Airport,49.07
DIBI,CI,BXI,-6.47,Boundiali Airport,9.53
FCOB,CG,BOE,15.38,Boundji Airport,-1.03
LFLD,FR,BOU,2.37,Bourges Airport,47.06
YBKE,AU,BRK,145.95,Bourke Airport,-30.04
FTTS,TD,OUT,16.72,Bousso Airport,10.48
GQNB,MR,OTL,-14.68,Boutilimit,17.53
KELN,US,ELN,-120.53,Bowers Field,47.03
FEGZ,CF,BOZ,16.32,Bozoum Airport,6.34
KPOC,US,POC,-117.78,Brackett Field Airport,34.09
LPBR,PT,BGZ,-8.45,Braga Airport,41.59
LPBG,PT,BGC,-6.71,Braganca Airport,41.86
CYBR,CA,YBR,-99.95,Brandon Municipal Airport,49.91
EBBT,BE,,4.5,Brasschaat,51.34
KBWC,US,BWC,-115.52,Brawley Municipal Airport,32.99
BIBV,IS,BXV,-14.04,Breiddalsvik Airport,64.79
FEFR,CF,BIV,21.99,Bria Airport,6.53
SNDV,BR,DIQ,-44.87,Divinopolis Airport,-20.18
SBVH,BR,BVH,-60.1,Vilhena Aeroporto,-12.7
SBPJ,BR,PMW,-48.36,Palmas-Brigadeiro Lysias Rodrigues Airport,-10.29
SAVE,AR,EQS,-71.14,Esquel Airport,-42.91
SAZC,AR,CSZ,-61.89,Brigadier Hector Eduardo Ruiz Airport,-37.45
KBMC,US,BMC,-112.06,Brigham City Airport,41.55
,US,BDX,-105.45,Broadus Airport,45.47
CYBT,CA,YBT,-101.68,Brochet Airport,57.89
CNL3,CA,XBR,-75.73,Brockville Regional Tackaberry Airport,44.62
YBHI,AU,BHQ,141.47,Broken Hill Airport,-32
CZBM,CA,ZBM,-72.74,Roland-Desourdy Airport,45.29
ENBN,NO,BNN,12.21,Bronnoysund Bronnoy Airport,65.46
KBKX,US,BKX,-96.82,Brookings Municipal Airport,44.3
YBRM,AU,BME,122.23,Broome International Airport,-17.95
KLVL,US,LVL,-77.79,Lawrenceville/Brunswick Municipal Airport,36.77
MHBL,HN,BHG,-84.54,Brus Laguna Airport,15.75
PAFR,US,FRN,-149.65,Bryant Army Heliport,61.27
WAFD,ID,LLO,120.25,Palopo Lagaligo Airport,-3.08
PKWA,MH,KWA,167.73,Bucholz Army Airfield,8.72
KBXK,US,BXK,-112.69,Buckeye Municipal Airport,33.42
MRBA,CR,BAI,-83.33,Buenos Aires Airport,9.16
CYVT,CA,YVT,-108.42,Buffalo Narrows Airport,55.84
HKSB,KE,UAS,37.54,Samburu South Airport,0.51
UWKB,RU,UUA,52.8,Bugulma Airport,54.64
AYBK,PG,BUA,154.67,Buka Airport,-5.42
FZMA,CD,BKY,28.81,Bukavu Kavumu Airport,-2.31
LBTG,BG,TGV,26.7,Targovishte Bukhovtsi Airport,43.31
HTBU,TZ,BKZ,31.82,Bukoba Airport,-1.33
ZMBS,MN,HBU,91.58,"Bulgan Airport, Khovd",46.1
ZMBN,MN,UGA,103.48,Bulgan Airport,48.85
AYBU,PG,BUL,146.65,Bulolo Airport,-7.21
YBUD,AU,BDB,152.32,Bundaberg Airport,-24.9
FZKA,CD,BUX,30.22,Bunia Airport,1.57
AYNS,PG,BXZ,147.87,Bunsil,-5.72
WALV,ID,BYQ,117.87,Bunyu Airport,3.46
WAMY,ID,UOL,121.41,Pogogul Airport,1.1
OOBR,OM,RMB,55.78,Buraimi,24.24
HCMV,SO,BUO,45.55,Burao Airport,9.53
YBKT,AU,BUC,139.53,Burketown Airport,-17.75
CYPZ,CA,YPZ,-125.89,Burns Lake Airport,54.33
OIBB,IR,BUZ,50.83,Bushehr Airport,28.95
YBLN,AU,BQB,115.4,Busselton Airport,-33.69
HRYI,RW,BTQ,29.74,Butare Airport,-2.6
NGTU,KI,BBG,172.81,Butaritari Airport,3.09
KBUM,US,BUM,-94.34,Butler Memorial Airport,38.29
KCRS,US,CRS,-96.4,C David Campbell Field-Corsicana Municipal Airport,32.03
VVCM,VN,CAH,105.18,Ca Mau Airport,9.18
KNGW,US,NGW,-97.43,Cabaniss Field,27.7
FNCA,AO,CAB,12.19,Cabinda Airport,-5.59
SAVJ,AR,IGB,-69.57,Ingeniero Jacobacci Airport,-41.32
SBCB,BR,CFB,-42.08,Cabo Frio Airport,-22.92
SCAS,CL,WPA,-72.67,Cabo Juan Roman Airfield,-45.4
MDCR,DO,CBJ,-71.64,Cabo Rojo Airport,17.93
SBCD,BR,CFC,-50.94,Cacador Airport,-26.79
SNKI,BR,CDI,-41.19,Cachoeiro do Itapemirim Airport,-20.83
SVPA,VE,PYH,-67.57,Cacique Aramare Airport,5.61
SSKW,BR,OAL,-61.45,Cacoal Airport,-11.5
SPST,PE,TPP,-76.37,Tarapoto,-6.51
EGCK,GB,,-4.34,Caernarfon Airport,53.1
RPLH,PH,LLC,121.75,Cagayan North International Airport,18.18
SVCD,VE,CXA,-66.16,Caicara del Orinoco Airport,7.63
WPEC,TL,BCH,126.4,Baucau Airport,-8.49
SVCL,VE,CLZ,-67.42,Calabozo Airport,8.92
LFAC,FR,CQF,1.95,Calais-Dunkerque Airport,50.96
VVCR,VN,CXR,109.22,Cam Ranh International Airport,12
CYCB,CA,YCB,-105.14,Cambridge Bay Airport,69.11
YSCN,AU,CDU,150.69,Camden Airport,-34.04
SLCA,BO,CAM,-63.53,Camiri Airport,-20.01
OAZI,AF,OAZ,64.21,Camp Bastion Air Base,31.86
CYBL,CA,YBL,-125.27,Campbell River Airport,49.95
,CA,YHH,-125.25,Campbell River Waterdrome,50.05
SBYS,BR,QPS,-47.34,Pirassununga,-21.98
VVCT,VN,VCA,105.73,Can Tho International Airport,10.07
SVCN,VE,CAJ,-62.85,Canaima Airport,6.23
SCJO,CL,ZOS,-73.06,Canal Bajo Carlos - Hott Siebert Airport,-40.61
HCMC,SO,CXN,49.91,Candala Airport,11.49
TDCF,DM,DCF,-61.39,Canefield Airport,15.34
ZPCW,CN,CWJ,99.37,Cangyuan Washan Airport,23.28
SBCO,BR,QNS,-51.14,Porto Alegre,-29.95
TVSC,VC,CIW,-61.33,Canouan Airport,12.7
PCIS,KI,CIS,-171.71,Kanton Airport,-2.77
,US,CTK,-96.57,Canton Municipal Airport,43.31
FNCP,AO,KNP,15.46,Capanda Airport,-9.77
CYTE,CA,YTE,-76.53,Cape Dorset Airport,64.23
AYCG,PG,CGC,148.43,Cape Gloucester Airport,-5.46
PAEH,US,EHM,-162.06,Cape Newenham LRRS Airport,58.65
GLCP,LR,CPA,-7.7,Cape Palmas,4.38
PACZ,US,CZF,-166.04,Cape Romanzof LRRS Airport,61.78
HECP,EG,CCE,31.77,Madinaty Capital International Airport,30.06
SLCO,BO,CIJ,-68.77,Cobija,-11.04
SLSI,BO,SNG,-60.96,San Ignacio De Velasco,-16.38
SLPS,BO,PSZ,-57.82,Puerto Suarez,-18.98
SLRI,BO,RIB,-66.07,Riberalta,-11
SLVG,BO,VAH,-64.1,Capitan Av. Vidal Villagomez Toledo Airport,-18.48
SAWJ,AR,ULA,-67.76,Capitan Jose Daniel Vazquez Airport,-49.31
SPSO,PE,PIO,-76.22,Capitan FAP Renan Elias Olivera Airport,-13.74
SLPO,BO,POI,-65.72,Captain Nicolas Rojas Airport,-19.54
TUPA,VG,NGD,-64.33,Auguste George Airport,18.73
SSAP,BR,APU,-51.38,Apucarana Airport,-23.61
MMCY,MX,CYW,-100.89,Captain Rogelio Castillo National Airport,20.55
SKCA,CO,CPB,-77.35,Capurgana Airport,8.63
VOCX,IN,CBD,92.82,Car Nicobar Air Force Base,9.15
LRCS,RO,CSB,22.25,Caransebes Airport,45.42
SWCA,BR,CAF,-66.9,Carauari Airport,-4.87
SBCV,BR,CRQ,-39.25,Caravelas Airport,-17.65
LFMK,FR,CCF,2.31,Carcassonne Airport,43.22
EGNC,GB,CAX,-2.81,Carlisle Airport,54.94
MUBY,CU,BYM,-76.63,Carlos Manuel de Cespedes Airport,20.39
SGPI,PY,PIL,-58.32,Carlos Miguel Gimenez Airport,-26.88
MGCR,GT,CMM,-90.05,Carmelita Airport,17.46
YCAR,AU,CVQ,113.67,Carnarvon Airport,-24.88
FEFC,CF,CRF,15.89,Carnot Airport,4.94
SVCO,VE,VCR,-70.07,Carora Airport,10.18
YCPN,AU,CFP,144.32,Carpentaria Downs Airport,-18.72
MHCR,HN,LUI,-86.69,La Union Airport,15.03
CYCA,CA,YRF,-57.04,Cartwright Airport,53.68
SNRU,BR,CAU,-36.01,Caruaru Airport,-8.28
KCZK,US,CZK,-121.88,Cascade Locks-Stevenson State Airport,45.68
LPCS,PT,CAT,-9.35,Cascais Municipal Aerodrome,38.72
EIME,IE,,-6.45,Casement Aerodrome,53.3
CYCG,CA,YCG,-117.63,West Kootenay Regional Airport,49.3
LFCK,FR,DCM,2.29,Castres-Mazamet Airport,43.56
VVCI,VN,HPH,106.73,Cat Bi International Airport,20.82
CYAC,CA,YAC,-91.82,Cat Lake Airport,51.73
RPVF,PH,CRM,124.64,Catarman National Airport,12.5
FNCT,AO,CBT,13.49,Catumbela Airport,-12.48
RPUY,PH,CYZ,121.75,Cauayan Airport,16.93
SKLG,CO,LQM,-74.77,Caucaya Puerto Leguizamo Airport,-0.18
MHCU,HN,CDD,-83.59,Cauquira Airport,15.32
SAHE,AR,CVH,-71.01,Caviahue Airport,-37.85
,BZ,CYC,-88.04,Caye Chapel Airport,17.69
FNCZ,AO,CAV,22.92,Cazombo Airport,-11.89
MHGS,HN,GAC,-88.6,Celaque Airport,14.57
ETHC,DE,ZCN,10.02,Celle,52.59
,US,CWS,-122.83,Center Island Airport,48.49
KOWK,US,OWK,-69.87,Central Maine Airport of Norridgewock,44.72
CYCE,CA,YCE,-81.51,Centralia/James T. Field Memorial Aerodrome,43.29
SUMO,UY,MLZ,-54.22,Cerro Largo International Airport,-32.34
KCEA,US,CEA,-97.25,Cessna Aircraft Field Airport,37.65
GECE,ES,JCU,-5.31,Ceuta Heliport,35.89
CYOD,CA,YOD,-110.28,CFB Cold Lake,54.4
CYZX,CA,YZX,-64.92,CFB Greenwood,44.98
CYTR,CA,YTR,-77.53,CFB Trenton,44.12
VTSN,TH,NST,99.96,Nakhon Si Thammarat Airport,8.47
SPPY,PE,CHH,-77.86,Chachapoyas Airport,-6.2
SEAM,EC,ATF,-78.57,Ambato / Chachoan,-1.21
SNBA,BR,BAT,-48.59,Chafei Amsei Airport,-20.58
SCTN,CL,WCH,-72.7,Chaiten Airport,-42.93
OACC,AF,CCN,65.27,Chakcharan Airport,34.53
LFOK,FR,XCR,4.19,Chalons Vatry Airport,48.78
SCHA,CL,CPO,-70.41,Chamonate Airport,-27.3
SCRA,CL,CNR,-70.61,Chanaral Airport,-26.33
PALR,US,WCR,-148.48,Chandalar Lake Airport,67.5
VICG,IN,IXC,76.79,Chandigarh Airport,30.67
ZYBS,CN,NBS,127.6,Changbaishan Airport,42.07
ZBCZ,CN,CIH,113.12,Changzhi Airport,36.25
VYCZ,MM,VBC,96.09,Mandalay Chanmyathazi Airport,21.94
ZYCY,CN,CHG,120.44,Chaoyang Airport,41.54
CYMT,CA,YMT,-74.47,Chibougamau/Chapais Airport,49.82
CYLD,CA,YLD,-83.35,Chapleau Airport,47.82
YBCV,AU,CTL,146.26,Charleville Airport,-26.41
CYCL,CA,YCL,-66.33,Charlo Airport,47.99
,VI,SPB,-64.94,Charlotte Amalie Harbor Seaplane Base,18.34
LFOR,FR,QTJ,1.52,Chartres-Metropole airport,48.46
LFLX,FR,CHR,1.73,"Chateauroux-Centre ""Marcel Dassault"" Airport",46.86
,US,CYM,-134.95,Chatham Seaplane Base,57.51
ZBCD,CN,CDE,118.07,Chengde Puning Airport,41.12
ZBZL,CN,NZL,122.79,Zhalantun Chengjisihan Airport,47.82
KCQW,US,HCW,-79.96,Cheraw Municipal Airport/Lynch Bellinger Field,34.71
LFRC,FR,CER,-1.47,Cherbourg-Maupertus Airport,49.65
UESS,RU,CYX,161.34,Cherskiy Airport,68.74
CYCS,CA,YCS,-90.73,Chesterfield Inlet Airport,63.34
CYCQ,CA,YCQ,-121.63,Chetwynd Airport,55.69
RCKU,TW,CYI,120.39,Chiayi Airport,23.46
KCHK,US,CHK,-97.97,Chickasha Municipal Airport,35.1
,US,KCL,-158.53,Chignik Lagoon Airport,56.31
SKIG,CO,IGO,-76.69,Chigorodo Airport,7.68
OPCL,PK,CHB,74.08,Chilas Airport,35.43
SCCC,CL,CCH,-71.69,Chile Chico Airport,-46.58
YCGO,AU,LLG,144.53,Chillagoe Airport,-17.14
AYCH,PG,CMU,144.97,Chimbu Airport,-6.02
FQCH,MZ,VPY,33.43,Chimoio Airport,-19.15
SLCH,BO,CCA,-65.14,Chimore Airport,-16.99
VCCT,LK,TRR,81.18,China Bay Airport,8.54
YCCA,AU,CCL,150.62,Chinchilla Airport,-26.77
FQTT,MZ,TET,33.64,Chingozi Airport,-16.1
FLCP,ZM,CIP,32.59,Chipata Airport,-13.56
FVCH,ZW,CHJ,32.63,Chipinge,-20.21
FNCH,AO,PGI,20.8,Chitato Airport,-7.36
OPCH,PK,CJL,71.8,Chitral Airport,35.88
ZMCD,MN,COQ,114.65,Choibalsan Airport,48.14
LFOU,FR,CET,-0.88,Cholet-Le Pontreau Airport,47.08
SAHC,AR,HOS,-70.22,Chos Malal Airport,-37.44
UELL,RU,NER,124.91,Chulman Airport,56.91
AYCB,PG,CVB,144.71,Chungribu Airport,-4.81
CZUM,CA,ZUM,-64.11,Churchill Falls Airport,53.56
CYYQ,CA,YYQ,-94.07,Churchill Airport,58.74
NFCI,FJ,ICI,-179.34,Cicia Airport,-17.74
LTBL,TR,IGL,27.01,Cigli Air Base,38.51
LTBD,TR,CII,27.9,Aydin Airport,37.81
SKCM,CO,CIM,-73.97,Cimitarra Airport,6.37
MMDA,MX,CUA,-111.61,Ciudad Constitucion Airport,25.05
MMDM,MX,MMC,-99.02,Ciudad Mante National Airport,22.74
YCMT,AU,CMQ,147.62,Clermont Airport,-22.77
YCFH,AU,CFH,138.89,Clifton Hills Airstrip,-27.02
KCSM,US,CSM,-99.2,Clinton-Sherman Airport,35.34
YCCY,AU,CNJ,140.51,Cloncurry Airport,-20.67
EHDS,NL,,6.33,Aero Club Salland,52.47
SWKO,BR,CIZ,-63.13,Coari Airport,-4.12
MGCT,GT,CTF,-91.88,Coatepeque Airport,14.69
MGCB,GT,CBV,-90.41,Coban,15.47
YCBA,AU,CAZ,145.79,Cobar Airport,-31.54
SCHR,CL,LGR,-72.59,Cochrane Airfield,-47.24
EDBC,DE,CSO,11.42,Cochstedt Airport,51.86
YCCT,AU,CNC,143.07,Coconut Island Airport,-10.05
TAPH,AG,BBQ,-61.83,Barbuda Codrington Airport,17.64
YCOE,AU,CUQ,143.12,Coen Airport,-13.76
KCFV,US,CFV,-95.57,Coffeyville Municipal Airport,37.09
YCFS,AU,CFS,153.12,Coffs Harbour Airport,-30.32
LFBG,FR,CNG,-0.32,Cognac-Chateaubernard Air Base,45.66
KMTO,US,MTO,-88.28,Coles County Memorial Airport,39.48
EGEL,GB,COL,-6.62,Coll Airport,56.6
YCOI,AU,CIE,116.22,Collie Airport,-33.37
LFGA,FR,CMR,7.36,Colmar-Houssen Airport,48.11
MULM,CU,LCL,-83.64,La Coloma Airport,22.34
MYCI,BS,CRI,-74.17,Colonel Hill Airport,22.75
SAVM,AR,OLN,-69,Lago Musters Airport,-45.58
EGEY,GB,CSA,-6.24,Colonsay Airstrip,56.06
KCBM,US,CBM,-88.44,Columbus Air Force Base,33.64
SSVV,BR,JJD,-40.36,Jericoacoara Airport,-2.91
SPHZ,PE,ATA,-77.6,Comandante FAP German Arias Graziani Airport,-9.35
SBBG,BR,BGX,-54.11,Bage Aeroporto,-31.39
HADC,ET,DSE,39.72,Combolcha Airport,11.1
VGCM,BD,CLA,91.19,Comilla Airport,23.44
SAZP,AR,PEH,-61.86,Comodoro Pedro Zanni Airport,-35.84
SAAC,AR,COC,-58,Comodoro Pierrestegui Airport,-31.3
CYQQ,CA,YQQ,-124.89,Comox Valley Airport,49.71
KCPM,US,CPM,-118.24,Compton/Woodley Airport,33.89
VVCS,VN,VCS,106.63,Con Dao Airport,8.73
SBAA,BR,CDJ,-49.3,Conceicao do Araguaia Airport,-8.35
SLCP,BO,CEP,-62.03,Concepcion Airport,-16.14
SSCK,BR,CCI,-52.05,Concordia Airport,-27.18
YCDO,AU,CBX,147.21,Condobolin Airport,-33.06
MYAK,BS,TZN,-77.59,South Andros Airport,24.16
MDCZ,DO,COZ,-70.72,Constanza,18.91
YCBP,AU,CPD,134.73,Coober Pedy Airport,-29.04
YCOM,AU,OOM,148.97,Cooma-Snowy Mountains Airport,-36.3
,US,COP,-74.89,Cooperstown-Westville Airport,42.63
MHRU,HN,RUY,-89.01,Ruinas de Copan Airport,14.91
SCKP,CL,CPP,-68.68,Coposa Airport,-20.75
,US,CZC,-145.29,Copper Center 2 Airport,61.94
CYZS,CA,YZS,-83.36,Coral Harbour Airport,64.19
YCOD,AU,ODL,140.64,Cordillo Downs Airport,-26.75
MNCI,NI,RNI,-83.06,Corn Island,12.17
SSCP,BR,CKO,-50.6,Cornelio Procopio Airport,-23.15
CYCC,CA,YCC,-74.56,Cornwall Regional Airport,45.1
NZCX,NZ,CMV,175.51,Coromandel Aerodrome,-36.79
CYCT,CA,YCT,-111.44,Coronation Airport,52.08
SEMC,EC,XMS,-78.12,Edmundo Carvajal Airport,-2.31
SBLE,BR,LEC,-41.28,Chapada Diamantina Airport,-12.48
KNGP,US,NGP,-97.29,"Corpus Christi, Corpus Christi Naval Air Station/Truax Field",27.69
,US,CTX,-76.22,Cortland County Airport-Chase Field,42.59
MNCE,NI,ECI,-86.03,Costa Esmeralda Airport,11.43
SELT,EC,LTX,-78.62,Cotopaxi International Airport,-0.91
KCFD,US,CFD,-96.33,Coulter Field,30.72
,US,CIL,-163.7,Council Airport,64.9
LFLJ,FR,CVF,6.63,Courchevel Airport,45.4
CAH3,CA,YCA,-124.98,Courtenay Airpark,49.68
SKCV,CO,CVE,-75.69,Covenas Airport,9.4
CYYM,CA,YYM,-114.09,Cowley Airport,49.64
KPRX,US,PRX,-95.45,Cox Field Airport,33.64
VGCB,BD,CXB,91.96,Cox's Bazar Airport,21.45
MHCS,HN,CYL,-86.68,Coyoles,15.45
NVSF,VU,CCV,167.92,Craig Cove Airport,-16.26
KBUB,US,BUB,-99.15,Cram Field,41.78
,CA,CFQ,-116.5,Creston Aerodrome,49.04
CYCR,CA,YCR,-97.76,Cross Lake (Charlie Sinclair Memorial) Airport,54.61
KCSV,US,CSV,-85.08,Crossville Memorial Airport,35.95
LIBC,IT,CRV,17.08,Crotone Airport,39
FQCB,MZ,FXO,36.53,Cuamba Airport,-14.81
SVCU,VE,CUM,-64.13,Cumana Antonio Jose de Sucre Airport,10.45
SACC,AR,LCM,-64.53,La Cumbre Airport,-31.01
YCMU,AU,CMA,145.62,Cunnamulla Airport,-28.03
KBBD,US,BBD,-99.32,Brady Curtis Field,31.18
KEYF,US,,-78.58,Curtis L. Brown Jr. Field,34.6
SATU,AR,UZU,-57.98,Curuzu Cuatia Airport,-29.77
SAZW,AR,CUT,-69.26,Cutral Co Airport,-38.94
LFMA,FR,QXB,5.37,Aix-Les Milles,43.51
LFAY,FR,QAM,2.39,Amiens-Glisy,49.87
LFCH,FR,XAC,-1.11,Arcachon - La Teste-de-Buch,44.6
VOGO,IN,GOI,73.83,Dabolim Airport,15.38
RPUD,PH,DTE,122.98,Daet,14.13
KNDY,US,DGN,-77.04,Dahlgren Naval Surface Warfare Center Airport,38.33
HEDK,EG,DAK,29,Dakhla Airport,25.41
ZMDZ,MN,DLZ,104.39,Dalanzadgad Airport,43.6
OPDB,PK,DBA,64.4,Dalbandin Airport,28.88
KDHT,US,DHT,-102.55,Dalhart Municipal Airport,36.02
KDNN,US,DNN,-84.87,Dalton Municipal Airport,34.72
YDLW,AU,DYW,133.38,Daly Waters Airfield,-16.26
HSDZ,SD,RSS,34.34,Damazin Airport,11.79
KDSV,US,DSV,-77.71,Dansville Municipal Airport,42.57
ZUDC,CN,DCY,100.05,Daocheng Yading Airport,29.32
VEDZ,IN,DEP,94.22,Daporijo Airport,27.99
NZDA,NZ,DGR,173.89,Dargaville Aerodrome,-35.94
YDNI,AU,NLF,143.78,Darnley Island Airport,-9.58
AYDU,PG,DAU,143.21,Daru Airport,-9.09
OADZ,AF,DAZ,70.88,Darwaz Airport,38.46
,YE,DAH,46.13,Dathina,13.87
EVDA,LV,DGP,26.67,Daugavpils International Airport,55.94
KEXX,US,,-80.3,Davidson County Airport,35.78
VYDW,MM,TVY,98.2,Dawei Airport,14.1
CYDA,CA,YDA,-139.12,Dawson City Airport,64.04
MYLD,BS,LGI,-75.09,Deadman's Cay Airport,23.18
CYDL,CA,YDL,-130.03,Dease Lake Airport,58.42
AYDB,PG,DBP,141.91,Debepare,-6.31
HADM,ET,DBM,37.72,Debremarcos,10.35
HADT,ET,DBT,38,Debre Tabor Airport,11.97
DFOD,BF,DGU,-3.49,Dedougou Airport,12.46
CYDF,CA,YDF,-57.39,Deer Lake Regional Airport,49.21
VIDN,IN,DED,78.13,Jolly Grant Airport,30.23
OSDZ,SY,DEZ,40.18,Deir ez-Zor Airport,35.29
CYWJ,CA,YWJ,-123.46,Deline Airport,65.2
ZLDL,CN,HXD,97.27,Delingha Airport,37.13
OMDL,AE,ZDY,52.34,Dalma Airport,24.51
KDTA,US,DTA,-112.51,Delta Municipal Airport,39.38
HADD,ET,DEM,34.86,Dembidollo Airport,8.55
KDMN,US,DMN,-107.72,Deming Municipal Airport,32.26
YDLQ,AU,DNQ,144.95,Deniliquin Airport,-35.56
FSSD,SC,DEI,55.67,Denis Island Airport,-3.8
WIPH,ID,KRC,101.47,Depati Parbo Airport,-2.09
UEBD,RU,DPT,139.9,Deputatskiy Airport,69.39
,CN,DEQ,120.11,Deqing Moganshan Airport,30.5
OPDG,PK,DEA,70.49,Dera Ghazi Khan Airport,29.96
OPDI,PK,DSK,70.9,Dera Ismail Khan Airport,31.91
YDBY,AU,DRB,123.66,Derby Airport,-17.37
KDRA,US,DRA,-116.03,Desert Rock Airport,36.62
TFFA,GP,DSD,-61.08,La Desirade Airport,16.3
FSDR,SC,DES,53.66,Desroches Airport,-5.7
VAID,IN,IDR,75.8,Devi Ahilyabai Holkar International Airport,22.72
YDPO,AU,DPO,146.43,Devonport Airport,-41.17
OIAD,IR,DEF,48.39,Dezful Airport,32.44
