icao_code,country_code,iata_code,lng,name,lat
KGFK,US,GFK,-97.18,Grand Forks International Airport,47.95
KGPT,US,GPT,-89.07,Gulfport-Biloxi Regional Airport,30.41
KFAR,US,FAR,-96.82,Hector International Airport,46.92
VIDP,IN,DEL,77.1,Indira Gandhi International Airport,28.56
EGJJ,JE,JER,-2.19,Jersey Airport,49.21
KFSD,US,FSD,-96.74,Joe Foss Field,43.58
KJFK,US,JFK,-73.78,John F. Kennedy International Airport,40.64
ESGJ,SE,JKG,14.07,Joenkoeping Airport,57.76
RJBB,JP,KIX,135.24,Kansai International Airport,34.43
EPKT,PL,KTW,19.08,Katowice International Airport,50.47
UKHH,UA,HRK,36.29,Kharkiv International Airport,49.92
KLFT,US,LFT,-91.99,Lafayette Regional Airport,30.21
LCLK,CY,LCA,33.62,Larnaca International Airport,34.87
KLNK,US,LNK,-96.76,Lincoln Airport,40.85
EGKK,GB,LGW,-0.18,London Gatwick Airport,51.15
EGGW,GB,LTN,-0.37,London Luton Airport,51.88
KISP,US,ISP,-73.1,Long Island Mac Arthur Airport,40.79
ELLX,LU,LUX,6.21,Luxembourg Findel Airport,49.63
LFLL,FR,LYS,5.08,Lyon-Saint Exupery Airport,45.72
EHBK,NL,MST,5.77,Maastricht Aachen Airport,50.91
RPVM,PH,CEB,123.98,Mactan-Cebu International Airport,10.31
LPMA,PT,FNC,-16.77,Madeira Airport,32.7
LMML,MT,MLA,14.48,Malta International Airport,35.85
LFML,FR,MRS,5.22,Marseille Provence Airport,43.44
KMFE,US,MFE,-98.24,McAllen Miller International Airport,26.18
KLAS,US,LAS,-115.15,McCarran International Airport,36.08
DTMB,TN,MIR,10.75,Monastir Habib Bourguiba International Airport,35.76
KBNA,US,BNA,-86.68,Nashville International Airport,36.13
KPHF,US,PHF,-76.5,Newport News-Williamsburg International Airport,37.13
LFMN,FR,NCE,7.21,Nice Cote d'Azur International Airport,43.66
UKOO,UA,ODS,30.68,Odessa International Airport,46.43
LWOH,MK,OHD,20.74,"Ohrid ""St. Paul the Apostle"" Airport",41.18
LKPD,CZ,PED,15.74,Pardubice Airport,50.01
TNCM,SX,SXM,-63.11,Princess Juliana International Airport,18.04
KRDU,US,RDU,-78.79,Raleigh-Durham International Airport,35.88
EVRA,LV,RIX,23.97,Riga International Airport,56.92
KROA,US,ROA,-79.97,Roanoke Regional Airport-Woodrum Field,37.32
KSAN,US,SAN,-117.19,San Diego International Airport,32.73
KSBP,US,SBP,-120.64,San Luis Obispo County Airport,35.24
KSBA,US,SBA,-119.84,Santa Barbara Municipal Airport,34.43
LWSK,MK,SKP,21.62,Skopje International Airport,41.96
LBSF,BG,SOF,23.41,Sofia Airport,42.69
KSBN,US,SBN,-86.31,South Bend International Airport,41.7
KRSW,US,RSW,-81.76,Southwest Florida International Airport,26.53
CYYT,CA,YYT,-52.75,St. John's International Airport,47.62
KPIE,US,PIE,-82.69,St. Petersburg-Clearwater International Airport,27.91
LFST,FR,SXB,7.63,Strasbourg Airport,48.54
EDDS,DE,STR,9.2,Stuttgart Airport,48.69
KPVD,US,PVD,-71.43,Theodore Francis Green State Airport,41.73
LKPR,CZ,PRG,14.26,Prague Vaclav Havel Airport,50.1
KILM,US,ILM,-77.91,Wilmington International Airport,34.27
EKYT,DK,AAL,9.86,Aalborg Airport,57.09
OMDW,AE,DWC,55.16,Dubai World Central - Al Maktoum International Airport,24.9
KALB,US,ALB,-73.8,Albany International Airport,42.75
PGUM,GU,GUM,144.8,Antonio B. Won Pat International Airport,13.49
KACY,US,ACY,-74.58,Atlantic City International Airport,39.46
NZAA,NZ,AKL,174.79,Auckland International Airport,-37.01
KAUS,US,AUS,-97.67,Austin-Bergstrom International Airport,30.2
OBBI,BH,BAH,50.63,Bahrain International Airport,26.27
EKBI,DK,BLL,9.15,Billund Airport,55.74
LIPE,IT,BLQ,11.29,Bologna Guglielmo Marconi Airport,44.53
YBBN,AU,BNE,153.11,Brisbane Airport,-27.39
EBBR,BE,BRU,4.48,Brussels Airport,50.9
LHBP,HU,BUD,19.26,Budapest Ferenc Liszt International Airport,47.43
LBBG,BG,BOJ,27.52,Burgas Airport,42.57
EGFF,GB,CWL,-3.34,Cardiff Airport,51.4
SUMU,UY,MVD,-56.03,Carrasco International Airport,-34.84
KCHS,US,CHS,-80.04,Charleston International Airport,32.89
RKTU,KR,CJJ,127.5,Cheongju International Airport,36.72
NZCH,NZ,CHC,172.53,Christchurch International Airport,-43.49
EKCH,DK,CPH,12.65,Copenhagen Airport,55.62
KDAL,US,DAL,-96.85,Dallas Love Field,32.85
UUDD,RU,DME,37.9,Domodedovo International Airport,55.41
EIDW,IE,DUB,-6.26,Dublin Airport,53.42
EGNV,GB,MME,-1.43,Durham Tees Valley Airport,54.51
PAFA,US,FAI,-147.86,Fairbanks International Airport,64.82
LPFR,PT,FAO,-7.97,Faro Airport,37.02
KFAY,US,FAY,-78.88,Fayetteville Municipal Airport,34.99
EDFH,DE,HHN,7.26,Frankfurt-Hahn Airport,49.95
KFAT,US,FAT,-119.72,Fresno Yosemite International Airport,36.77
KBOS,US,BOS,-71.01,Logan International Airport,42.37
EGAC,GB,BHD,-5.87,George Best Belfast City Airport,54.62
EGPK,GB,PIK,-4.59,Glasgow Prestwick Airport,55.51
SBGR,BR,GRU,-46.48,Sao Paulo-Guarulhos International Airport,-23.43
WIHH,ID,HLP,106.89,Halim Perdanakusuma Airport,-6.27
EDDV,DE,HAJ,9.69,Hannover Airport,52.46
TISX,VI,STX,-64.8,Henry E Rohlsen Airport,17.7
SAAR,AR,ROS,-60.78,Rosario International Airport,-32.91
KJAN,US,JAN,-90.08,Jackson-Evers International Airport,32.31
KDAY,US,DAY,-84.22,James M Cox Dayton International Airport,39.9
SABE,AR,AEP,-58.42,Jorge Newbery Airport,-34.56
